,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,Timestamp
0,3792,4244,-18731,4063,2731,158,1574277481783.0
1,3823,4272,-18740,4013,2783,192,1574277481783.0
2,3844,4264,-18746,3990,2795,190,1574277481783.0
3,3847,4243,-18779,3971,2765,198,1574277481783.0
4,3835,4262,-18763,3948,2708,202,1574277481783.0
5,3863,4220,-18699,3923,2650,205,1574277481783.0
6,3850,4201,-18703,3889,2618,212,1574277481783.0
7,3854,4205,-18622,3864,2620,197,1574277481783.0
8,3840,4166,-18643,3838,2655,198,1574277481783.0
9,3876,4125,-18621,3802,2706,196,1574277481783.0
10,3859,4122,-18641,3743,2728,203,1574277481783.0
11,3832,4121,-18644,3685,2739,205,1574277481783.0
12,3821,4135,-18633,3645,2732,209,1574277481783.0
13,3819,4212,-18619,3607,2717,212,1574277481783.0
14,3809,4198,-18599,3617,2701,203,1574277481783.0
15,3807,4225,-18577,3659,2700,221,1574277481783.0
16,3776,4187,-18532,3671,2688,217,1574277481783.0
17,3771,4197,-18510,3658,2678,245,1574277481783.0
18,3794,4184,-18554,3637,2653,257,1574277481783.0
19,3866,4132,-18552,3626,2608,257,1574277481783.0
20,3885,4110,-18525,3632,2575,249,1574277481783.0
21,3929,4161,-18540,3664,2543,214,1574277481783.0
22,3878,4085,-18435,3730,2518,176,1574277481783.0
23,3848,4045,-18466,3800,2521,141,1574277481783.0
24,3795,4014,-18446,3826,2557,146,1574277481783.0
25,3799,4038,-18463,3817,2607,143,1574277481783.0
26,3879,4075,-18585,3785,2677,125,1574277481783.0
27,3906,4057,-18598,3802,2714,113,1574277481783.0
28,3890,4084,-18707,3839,2722,112,1574277481783.0
29,3818,4022,-18685,3829,2708,115,1574277481783.0
30,3812,4029,-18659,3798,2707,131,1574277481783.0
31,3808,4015,-18667,3753,2692,159,1574277481783.0
32,3831,4009,-18707,3734,2677,157,1574277481783.0
33,3882,3966,-18669,3701,2646,151,1574277481783.0
34,3909,3971,-18700,3681,2604,143,1574277481783.0
35,3929,3935,-18732,3690,2576,130,1574277481783.0
36,3922,3949,-18664,3694,2543,101,1574277481783.0
37,3900,3942,-18584,3706,2529,90,1574277481783.0
38,3879,3913,-18572,3754,2523,76,1574277481783.0
39,3893,3923,-18563,3781,2546,74,1574277481783.0
40,3922,3898,-18591,3771,2592,70,1574277481783.0
41,3955,3924,-18618,3766,2610,66,1574277481783.0
42,3895,3891,-18676,3793,2587,64,1574277481783.0
43,3937,3911,-18692,3837,2546,37,1574277481783.0
44,3903,3932,-18641,3890,2522,26,1574277481783.0
45,3847,3897,-18552,3944,2537,30,1574277481783.0
46,3844,3942,-18566,3944,2572,45,1574277481783.0
47,3857,3928,-18571,3925,2598,56,1574277481783.0
48,3884,3867,-18661,3923,2600,74,1574277481783.0
49,3945,3878,-18634,3936,2555,80,1574277481783.0
50,3951,3868,-18573,3930,2514,74,1574277481783.0
51,3945,3855,-18459,3922,2500,36,1574277481783.0
52,3904,3834,-18488,3886,2504,18,1574277481783.0
53,3908,3864,-18475,3862,2508,-13,1574277481783.0
54,3929,3920,-18428,3858,2526,-24,1574277481783.0
55,3986,3891,-18401,3900,2543,-38,1574277481783.0
56,3939,3890,-18398,3961,2560,-41,1574277481783.0
57,3955,3879,-18294,4014,2558,-14,1574277481783.0
58,3946,3907,-18247,4017,2561,-3,1574277481783.0
59,3929,3968,-18276,4036,2568,-8,1574277481783.0
60,3931,3954,-18332,4069,2560,-41,1574277482080.0
61,3933,3936,-18439,4081,2530,-60,1574277482080.0
62,3935,3941,-18418,4061,2484,-69,1574277482080.0
63,3920,4013,-18479,4013,2435,-83,1574277482080.0
64,3925,4004,-18490,4003,2387,-128,1574277482080.0
65,3939,4019,-18529,3993,2344,-166,1574277482080.0
66,3919,4076,-18496,3990,2332,-185,1574277482080.0
67,3925,4142,-18508,3978,2337,-200,1574277482080.0
68,3876,4153,-18540,3982,2353,-210,1574277482080.0
69,3879,4124,-18613,4005,2381,-206,1574277482080.0
70,3875,4155,-18617,4004,2399,-182,1574277482080.0
71,3882,4234,-18727,3988,2392,-168,1574277482080.0
72,3862,4250,-18733,3987,2398,-166,1574277482080.0
73,3854,4316,-18746,3999,2392,-165,1574277482080.0
74,3839,4299,-18742,4000,2403,-135,1574277482080.0
75,3830,4320,-18781,3981,2417,-112,1574277482080.0
76,3830,4356,-18830,3960,2449,-95,1574277482080.0
77,3879,4364,-18923,3924,2489,-89,1574277482080.0
78,3939,4323,-18893,3887,2497,-81,1574277482080.0
79,3963,4335,-18942,3850,2502,-80,1574277482080.0
80,3939,4323,-18939,3860,2505,-80,1574277482080.0
81,3881,4367,-18919,3861,2485,-63,1574277482080.0
82,3842,4356,-18915,3844,2464,-62,1574277482080.0
83,3837,4361,-18810,3815,2450,-39,1574277482080.0
